timestamp,beats per minute,data source
2025-12-01T18:13:40Z,106.0,Inspire 3
2025-12-01T18:13:41Z,107.0,Inspire 3
2025-12-01T18:13:43Z,103.0,Inspire 3
2025-12-01T18:13:45Z,102.0,Inspire 3
2025-12-01T18:13:47Z,100.0,Inspire 3
2025-12-01T18:13:49Z,101.0,Inspire 3
2025-12-01T18:13:52Z,101.0,Inspire 3
2025-12-01T18:13:53Z,98.0,Inspire 3
2025-12-01T18:13:55Z,98.0,Inspire 3
2025-12-01T18:13:57Z,99.0,Inspire 3
2025-12-01T18:13:59Z,100.0,Inspire 3
2025-12-01T18:14:01Z,98.0,Inspire 3
2025-12-01T18:14:03Z,100.0,Inspire 3
2025-12-01T18:14:05Z,101.0,Inspire 3
2025-12-01T18:14:07Z,102.0,Inspire 3
2025-12-01T18:14:09Z,100.0,Inspire 3
2025-12-01T18:14:12Z,99.0,Inspire 3
2025-12-01T18:14:15Z,99.0,Inspire 3
2025-12-01T18:14:16Z,100.0,Inspire 3
2025-12-01T18:14:18Z,102.0,Inspire 3
2025-12-01T18:14:20Z,100.0,Inspire 3
2025-12-01T18:14:22Z,102.0,Inspire 3
2025-12-01T18:14:25Z,102.0,Inspire 3
2025-12-01T18:14:26Z,100.0,Inspire 3
2025-12-01T18:14:28Z,101.0,Inspire 3
2025-12-01T18:14:30Z,107.0,Inspire 3
2025-12-01T18:14:32Z,104.0,Inspire 3
2025-12-01T18:14:33Z,106.0,Inspire 3
2025-12-01T18:14:35Z,108.0,Inspire 3
2025-12-01T18:14:37Z,107.0,Inspire 3
2025-12-01T18:14:39Z,108.0,Inspire 3
2025-12-01T18:14:41Z,109.0,Inspire 3
2025-12-01T18:14:43Z,105.0,Inspire 3
2025-12-01T18:14:45Z,106.0,Inspire 3
2025-12-01T18:14:48Z,106.0,Inspire 3
2025-12-01T18:14:49Z,103.0,Inspire 3
2025-12-01T18:14:51Z,105.0,Inspire 3
2025-12-01T18:14:53Z,102.0,Inspire 3
2025-12-01T18:14:55Z,106.0,Inspire 3
2025-12-01T18:14:57Z,103.0,Inspire 3
2025-12-01T18:15:00Z,104.0,Inspire 3
2025-12-01T18:24:37Z,102.0,Inspire 3
2025-12-01T18:24:39Z,100.0,Inspire 3
2025-12-01T18:24:41Z,101.0,Inspire 3
2025-12-01T18:24:43Z,102.0,Inspire 3
2025-12-01T18:24:45Z,103.0,Inspire 3
2025-12-01T18:24:48Z,103.0,Inspire 3
2025-12-01T18:24:50Z,104.0,Inspire 3
2025-12-01T18:24:52Z,103.0,Inspire 3
2025-12-01T18:24:54Z,101.0,Inspire 3
2025-12-01T18:24:56Z,100.0,Inspire 3
2025-12-01T18:24:58Z,97.0,Inspire 3
2025-12-01T18:25:00Z,96.0,Inspire 3
2025-12-01T18:25:02Z,97.0,Inspire 3
2025-12-01T18:25:04Z,98.0,Inspire 3
2025-12-01T18:25:07Z,98.0,Inspire 3
2025-12-01T18:25:08Z,100.0,Inspire 3
2025-12-01T18:25:10Z,101.0,Inspire 3
2025-12-01T18:25:12Z,100.0,Inspire 3
2025-12-01T18:25:14Z,101.0,Inspire 3
2025-12-01T18:25:15Z,100.0,Inspire 3
2025-12-01T18:25:17Z,98.0,Inspire 3
2025-12-01T18:25:19Z,99.0,Inspire 3
2025-12-01T18:25:21Z,100.0,Inspire 3
2025-12-01T18:25:23Z,101.0,Inspire 3
2025-12-01T18:25:25Z,103.0,Inspire 3
2025-12-01T18:25:27Z,101.0,Inspire 3
2025-12-01T18:25:29Z,100.0,Inspire 3
2025-12-01T18:25:31Z,101.0,Inspire 3
2025-12-01T18:25:33Z,100.0,Inspire 3
2025-12-01T18:25:35Z,101.0,Inspire 3
2025-12-01T18:25:37Z,102.0,Inspire 3
2025-12-01T18:25:38Z,99.0,Inspire 3
2025-12-01T18:25:40Z,100.0,Inspire 3
2025-12-01T18:25:43Z,100.0,Inspire 3
2025-12-01T18:25:44Z,99.0,Inspire 3
